Source,Target,Energy,NumTriangles
0,1,3,5
0,2,8,4
0,4,5,3
0,34,5,3
0,79,8,6
0,194,8,4
0,284,6,1
0,315,13,1
0,326,6,3
0,419,9,1
0,442,10,1
0,456,4,3
0,517,11,1
0,579,5,2
0,590,4,1
0,648,8,1
0,650,6,2
0,696,4,1
0,711,10,3
0,752,8,1
0,756,8,1
0,778,8,2
0,789,9,1
0,792,8,1
0,829,9,1
0,860,3,1
0,911,11,1
0,915,15,2
0,932,8,1
0,949,15,1
0,965,7,1
1,2,9,6
1,3,8,9
1,4,6,13
1,6,6,15
1,7,8,11
1,9,10,8
1,10,9,6
1,11,12,2
1,12,5,9
1,14,8,11
1,17,9,6
1,19,8,2
1,20,6,9
1,21,9,4
1,22,10,6
1,26,17,4
1,27,6,5
1,28,13,4
1,29,9,6
1,31,9,2
1,32,8,2
1,34,6,4
1,38,9,1
1,39,8,5
1,40,10,3
1,41,6,2
1,42,8,2
1,45,6,4
1,47,11,2
1,49,10,3
1,50,11,3
1,56,10,1
1,57,7,3
1,58,6,2
1,59,7,2
1,62,4,9
1,64,6,3
1,67,9,3
1,70,7,7
1,71,7,2
1,72,4,4
1,74,9,3
1,77,6,2
1,78,8,3
1,81,11,4
1,82,3,2
1,83,12,1
1,91,8,4
1,97,11,3
1,98,10,1
1,100,13,2
1,101,16,1
1,102,12,2
1,104,11,2
1,107,10,4
1,110,12,1
1,113,18,2
1,118,5,2
1,119,6,3
1,125,12,1
1,127,6,3
1,130,11,1
1,133,5,2
1,134,6,5
1,136,11,2
1,138,11,1
1,139,12,1
1,141,5,1
1,145,6,4
1,147,9,2
1,149,11,1
1,160,6,5
1,161,8,4
1,163,8,1
1,187,5,1
1,196,8,2
1,204,7,1
1,206,8,1
1,207,8,2
1,209,7,2
1,210,8,1
1,214,11,2
1,215,15,1
1,217,4,1
1,218,9,1
1,219,7,1
1,222,13,1
1,225,7,1
1,226,4,1
1,227,10,3
1,244,13,1
1,245,5,3
1,249,7,1
1,252,4,1
1,260,11,1
1,263,7,1
1,267,12,1
1,268,9,1
1,274,8,1
1,277,9,1
1,281,7,1
1,284,7,2
1,287,5,1
1,290,9,1
1,292,7,3
1,299,11,2
1,303,8,1
1,304,11,2
1,306,8,1
1,313,12,1
1,319,13,1
1,322,7,1
1,332,5,3
1,333,8,2
1,338,4,1
1,346,7,1
1,351,11,1
1,362,7,1
1,368,13,1
1,371,9,1
1,372,9,1
1,380,4,1
1,387,14,1
1,393,5,1
1,397,10,1
1,409,13,1
1,415,8,3
1,423,7,1
1,431,8,1
1,440,8,1
1,443,8,1
1,445,6,1
1,449,8,1
1,456,5,5
1,459,15,1
1,460,14,1
1,469,12,1
1,470,11,1
1,471,16,3
1,473,5,2
1,474,6,1
1,476,7,1
1,483,6,2
1,484,9,1
1,490,11,1
1,498,8,1
1,502,8,1
1,506,8,1
1,507,10,1
1,508,9,1
1,512,3,2
1,513,7,1
1,515,7,1
1,527,9,1
1,544,16,1
1,548,10,1
1,549,8,1
1,558,12,1
1,560,9,3
1,566,12,1
1,568,7,1
1,573,6,1
1,574,10,1
1,584,9,1
1,588,6,1
1,589,13,1
1,593,8,1
1,596,8,2
1,599,5,1
1,600,8,1
1,603,9,2
1,606,7,1
1,611,8,2
1,616,9,1
1,622,11,1
1,627,18,1
1,628,5,1
1,629,14,1
1,636,8,1
1,641,9,1
1,644,7,1
1,645,5,2
1,646,10,1
1,652,9,1
1,653,7,1
1,665,8,1
1,669,11,1
1,670,8,1
1,672,10,1
1,674,12,1
1,676,11,1
1,680,8,1
1,681,11,1
1,687,6,1
1,688,8,2
1,689,12,1
1,697,4,1
1,705,8,1
1,714,14,1
1,726,12,1
1,732,15,1
1,734,14,1
1,740,10,1
1,747,9,1
1,754,10,1
1,766,10,1
1,772,6,1
1,775,11,1
1,786,10,2
1,787,5,1
1,798,8,1
1,804,10,1
1,808,4,1
1,811,8,1
1,815,8,1
1,821,9,1
1,833,7,1
1,834,15,2
1,838,6,1
1,843,14,1
1,850,10,1
1,851,6,1
1,863,9,1
1,867,15,1
1,889,6,1
1,904,6,1
1,912,5,1
1,914,10,1
1,919,5,1
1,924,6,1
1,928,5,1
1,938,3,1
1,943,9,1
1,946,10,1
1,950,9,1
1,951,10,1
1,954,12,1
1,955,8,1
1,966,6,1
1,974,7,1
1,977,9,1
1,980,9,1
1,983,8,1
1,987,7,1
1,990,14,1
1,991,8,1
1,994,6,1
1,997,9,1
2,3,13,2
2,5,10,3
2,9,15,4
