Source,Target,Energy,NumTriangles
0,1,9,2
0,2,10,2
0,4,7,2
0,34,7,2
0,79,10,2
0,284,8,1
0,456,6,2
0,648,10,1
1,2,13,2
1,3,12,2
1,4,10,2
1,6,10,2
1,9,14,2
1,20,10,2
1,39,12,2
1,49,14,2
1,50,15,2
1,194,13,2
1,326,11,2
1,442,15,2
1,517,16,2
1,752,13,2
1,778,13,1
1,915,20,1
2,3,13,2
2,5,10,2
2,7,13,2
2,21,14,2
2,34,11,2
2,38,14,2
2,41,11,2
2,119,11,2
2,149,16,2
2,218,14,2
2,315,19,2
2,419,15,2
2,579,11,2
2,590,10,2
2,650,12,1
2,860,9,1
3,5,9,2
3,9,14,2
3,10,13,2
3,11,16,2
3,12,9,2
3,19,12,2
3,26,21,2
3,32,12,2
3,40,14,2
3,42,12,2
3,62,8,2
3,81,15,2
3,82,7,2
3,204,11,2
3,245,9,2
3,263,11,1
3,292,11,2
3,756,13,2
3,965,12,1
4,6,8,2
4,14,10,2
4,17,11,2
4,22,12,2
4,56,12,2
4,74,11,2
4,83,14,2
4,91,10,2
4,136,13,2
4,284,9,2
4,696,7,1
4,711,13,1
5,7,9,2
5,8,6,2
5,10,10,2
5,13,15,2
5,16,11,2
5,28,14,2
5,29,10,2
5,31,10,2
5,260,12,2
5,281,8,2
5,287,6,2
5,431,9,2
5,459,16,2
5,460,15,2
5,490,12,2
5,513,8,2
5,558,13,2
5,593,9,1
5,932,10,1
6,14,10,2
6,15,11,2
6,18,4,2
6,27,8,2
6,39,10,2
6,45,8,2
6,64,8,2
6,107,12,2
6,141,7,2
6,145,8,2
6,225,9,2
6,368,15,1
6,789,12,2
6,792,11,2
6,829,12,1
7,8,9,2
7,21,13,2
7,25,16,2
7,58,10,2
7,133,9,2
7,161,12,2
7,371,13,1
7,506,12,2
7,911,16,1
8,31,10,2
8,58,7,2
8,77,7,2
8,98,11,2
8,101,17,2
8,110,13,2
8,139,13,2
8,206,9,2
8,319,14,1
8,811,9,1
9,12,11,2
9,20,12,2
9,47,17,1
9,67,15,2
9,636,14,2
9,676,17,2
9,949,22,1
10,11,17,2
10,13,19,2
10,24,16,2
10,104,16,2
10,118,10,2
10,138,16,2
10,244,18,1
10,409,18,2
10,470,16,1
11,40,18,2
11,57,15,2
11,71,15,2
11,244,21,2
11,268,17,2
11,415,16,1
11,726,20,1
12,19,9,2
12,59,8,2
12,67,10,2
12,70,8,2
12,163,9,2
12,209,8,2
12,303,9,2
12,351,12,2
12,443,9,1
12,977,10,1
13,16,20,2
13,23,22,2
13,24,21,1
13,72,14,2
13,290,19,2
13,568,17,2
13,786,20,1
14,15,13,2
14,17,13,2
14,33,11,2
14,52,16,2
14,78,12,2
14,380,8,2
14,680,12,1
14,834,19,1
15,18,7,2
15,48,15,2
15,78,13,2
15,97,16,2
15,187,10,2
