Source,Target,Energy,NumTriangles
0,1,8,2
0,2,15,1
0,3,12,1
1,2,11,2
1,3,8,2
1,4,6,2
1,5,5,2
1,6,6,2
1,7,8,2
1,12,5,2
1,13,14,1
1,245,5,2
1,246,6,2
1,247,10,2
1,267,12,1
2,245,12,1
3,4,10,2
3,49,14,1
4,5,7,2
4,11,14,1
4,49,12,1
5,6,7,2
5,8,6,2
5,9,11,2
5,11,13,1
5,56,11,2
5,82,4,2
5,83,13,1
6,7,10,2
6,8,7,2
6,10,11,2
6,17,11,2
6,57,9,2
6,58,8,2
6,59,9,2
6,67,11,2
6,70,9,2
6,71,9,2
6,72,6,2
6,73,12,1
6,91,10,2
6,92,8,2
6,93,8,2
6,95,13,1
7,12,9,2
7,14,12,1
7,17,13,1
8,9,11,2
8,10,10,2
8,16,11,2
8,52,13,1
8,101,17,1
9,56,16,1
9,101,22,1
10,16,15,1
10,91,13,1
12,13,15,1
12,14,9,2
12,15,10,2
12,18,3,2
12,19,9,2
12,26,18,1
14,15,13,1
15,18,7,2
15,22,15,1
16,52,18,1
17,57,12,1
18,19,6,2
18,20,4,2
18,21,7,2
18,22,8,2
18,23,10,2
18,24,9,2
18,25,10,2
18,27,4,2
18,28,11,2
18,29,7,2
18,30,9,2
18,31,7,2
18,32,6,2
18,33,5,2
18,34,4,2
18,35,5,2
18,36,6,2
18,37,7,2
18,38,7,2
18,39,6,2
18,40,8,2
18,41,4,2
18,42,6,2
18,43,5,2
18,44,14,1
18,110,10,2
18,111,2,2
18,112,1,2
18,113,16,1
19,20,10,2
19,26,21,1
19,50,15,1
20,21,11,2
20,50,13,1
20,54,9,2
20,55,12,1
21,23,17,1
21,54,12,1
22,24,17,1
23,27,14,1
24,25,19,1
25,29,17,1
27,28,15,1
28,110,21,1
29,30,16,1
30,31,16,1
31,32,13,1
32,33,11,2
32,53,15,1
33,34,9,2
33,45,9,2
33,47,14,1
33,53,14,1
34,35,9,2
34,45,8,2
34,46,12,1
34,48,12,1
35,36,11,2
35,48,13,1
35,89,11,2
35,102,15,1
36,37,13,1
36,89,12,1
37,38,14,1
38,39,13,1
39,40,14,1
40,41,12,1
41,42,10,2
41,51,15,1
42,43,11,2
42,51,17,1
42,69,15,1
43,44,19,1
43,69,14,1
45,46,12,2
45,47,13,1
45,284,9,2
45,285,12,1
46,284,13,1
54,55,13,1
56,82,9,2
56,84,16,1
57,58,9,2
57,60,14,1
58,59,9,2
58,60,13,1
58,61,8,2
58,62,6,2
58,64,8,2
58,66,16,1
59,61,9,2
59,67,12,1
59,68,12,1
61,62,6,2
61,63,13,1
61,68,11,2
61,225,9,2
61,226,6,2
61,227,12,1
62,63,11,2
62,64,6,2
62,65,11,2
62,86,7,2
62,87,12,1
62,380,4,2
62,381,6,2
62,383,14,1
63,86,14,1
64,65,13,1
64,66,16,1
65,380,11,2
65,409,20,1
67,70,12,1
68,225,12,1
70,71,10,2
70,77,9,2
70,78,11,2
70,88,13,1
71,72,7,2
71,74,12,1
71,77,9,2
71,79,12,1
72,73,10,2
72,74,9,2
72,75,8,2
72,76,13,1
72,81,11,2
72,217,4,2
72,218,9,2
72,219,7,2
72,220,11,2
72,244,13,1
73,81,17,1
74,75,13,1
75,76,17,1
77,78,10,2
77,79,11,2
77,80,16,1
77,90,11,2
77,281,9,2
77,282,12,1
78,80,18,1
78,88,14,1
79,90,14,1
81,217,11,2
81,287,12,1
82,83,11,2
82,84,9,2
82,85,13,1
82,103,7,2
82,104,10,2
82,105,10,2
82,106,6,2
82,107,9,2
82,108,7,2
82,109,11,2
82,319,12,1
83,103,16,1
84,85,20,1
86,87,15,1
89,102,16,1
90,281,12,1
91,92,10,2
91,100,17,1
92,93,8,2
92,94,10,2
92,99,12,1
92,100,15,1
93,94,10,2
93,95,13,1
93,96,7,2
93,97,13,1
94,96,9,2
94,98,14,1
94,99,14,1
96,97,12,1
96,98,11,2
96,456,6,2
96,457,9,2
96,460,15,1
98,456,11,1
103,104,15,1
104,105,18,1
105,106,14,1
106,107,13,1
107,108,14,1
108,109,16,1
109,319,21,1
110,111,12,1
111,112,3,2
111,114,8,2
111,117,10,2
111,118,5,2
111,119,6,2
111,120,6,2
111,121,9,2
111,126,6,2
111,127,6,2
111,128,8,2
111,130,11,2
111,313,12,1
112,113,17,1
112,114,7,2
112,115,6,2
112,116,12,1
114,115,11,2
114,117,14,1
114,470,15,1
115,116,16,1
115,470,14,1
117,118,11,2
117,419,16,1
118,119,7,2
118,122,14,1
118,419,11,2
118,473,6,2
118,474,7,2
118,476,8,2
118,477,7,2
118,478,6,2
118,479,12,1
119,120,8,2
119,122,15,1
119,123,8,2
119,124,12,1
120,121,11,2
120,123,8,2
120,125,14,1
120,194,11,2
120,310,14,1
121,126,11,2
121,194,14,1
121,224,16,1
123,124,12,1
123,125,14,1
126,127,8,2
126,129,15,1
126,224,13,1
127,128,10,2
127,129,15,1
127,131,6,2
127,132,9,2
127,141,7,2
127,142,9,2
127,145,8,2
127,146,10,2
127,149,13,1
128,130,15,1
128,131,8,2
128,140,14,1
130,313,19,1
131,132,7,2
131,133,5,2
131,134,6,2
131,135,10,2
131,140,10,2
131,160,6,2
131,161,8,2
131,162,8,2
131,163,8,2
131,164,7,2
131,165,13,1
131,206,8,2
131,207,8,2
131,208,8,2
131,209,7,2
131,210,8,2
131,211,10,2
131,214,11,2
131,308,9,2
131,309,15,1
132,133,8,2
132,137,6,2
132,139,15,1
132,141,8,2
132,144,19,1
133,134,7,2
133,136,12,1
133,137,4,2
