Node,Curvature
0,-32.6667
1,-7.16667
2,-26.1667
3,-16
4,-2
5,-9
6,-5
7,-7
8,-13.3333
9,-7.16667
10,-20.1667
11,-3.33333
12,-1.16667
13,-18.3333
14,-3
15,-6
16,-8.5
17,-3.5
18,-0.666667
19,-4
20,-5.33333
21,-0.666667
22,-1.66667
23,-5
24,-2.33333
25,-2.5
26,-1.5
27,0.166667
28,-3.16667
29,-3.16667
30,-1.33333
31,-0.333333
32,-10.5
33,-1.5
34,-3.83333
35,-1.16667
36,-4.16667
37,-2.83333
38,-6.66667
39,-1
40,-6.5
41,-0.666667
42,-2.16667
43,-2.33333
44,-2.66667
45,-1.5
46,-1
47,-3
48,-3.5
49,-0.166667
50,-5.33333
51,0.333333
52,-4
53,-0.5
54,-3.5
55,-0.166667
56,-4
57,-0.833333
58,-3
59,-0.333333
60,-0.833333
61,-2.33333
62,-0.333333
63,-0.666667
64,-0.666667
65,-0.833333
66,-1.16667
67,-3.83333
68,-1.16667
69,-0.833333
70,-1.16667
71,-2.16667
72,-3.66667
73,-0.166667
74,0
75,0.166667
76,0
77,-2.5
78,-1.5
79,-0.5
80,-5.83333
81,0.166667
82,-1.5
83,-2
84,-3.66667
85,-2
86,-1.66667
87,0
88,0
89,0
90,-2.16667
91,-0.166667
92,-0.666667
93,0.333333
94,0.333333
95,-0.166667
96,-0.166667
97,-2.5
98,-0.666667
99,-0.166667
100,-0.333333
101,-0.5
102,-2.16667
103,-1.33333
104,-0.5
105,0
106,-0.5
107,-0.166667
108,-2.66667
109,-0.5
110,-0.833333
111,0.333333
112,0.333333
113,-1.5
114,-2.33333
115,-0.166667
116,-2
117,-3
118,0.333333
119,-2.66667
120,-0.333333
121,0.166667
122,-2
123,0.166667
124,0
125,-0.5
126,-0.333333
127,-1
128,0.333333
129,0
130,0.333333
131,-0.666667
132,-0.333333
133,0.333333
134,-0.833333
135,-0.833333
136,-0.666667
137,-2.33333
138,-1.16667
139,-0.833333
140,0
141,0
142,-0.833333
143,0
144,0.166667
145,0
146,-0.5
147,-1.83333
148,0
149,-0.5
150,-0.666667
151,-1.5
152,-0.166667
153,0.166667
154,0
155,-0.5
156,-0.833333
157,-2
158,-2.5
159,-0.833333
160,-0.333333
161,0
162,-1.33333
163,0
164,-1.33333
165,-0.166667
166,0
167,0
168,0.166667
169,0.333333
170,-2.5
171,-0.166667
172,0
173,-2.66667
174,-1.66667
175,0.333333
176,0
177,0.333333
178,-0.833333
179,0
180,-0.333333
181,0.333333
182,-0.166667
183,0.166667
184,-0.5
185,0.166667
186,-0.833333
187,-2.16667
188,0.166667
189,-0.833333
190,-0.166667
191,0.333333
192,0.166667
193,0
194,-0.666667
195,0
196,-0.666667
197,-0.333333
198,0.333333
199,-0.666667
200,-0.5
201,0.333333
202,-1.33333
203,-1
204,-1.5
205,0
206,-0.166667
207,-0.333333
208,-0.333333
209,-0.166667
210,0.333333
211,-0.333333
212,-0.5
213,-2
214,0.333333
215,-0.333333
216,0.166667
217,0.333333
218,0.166667
219,-0.666667
220,-0.5
221,-0.333333
222,-1.33333
223,-0.5
224,-0.666667
225,-0.5
226,0
227,0.333333
228,0.333333
229,0
230,-1.5
231,-1.16667
232,0.333333
233,-0.166667
234,-0.333333
235,-0.666667
236,-0.666667
237,-1.33333
238,0.333333
239,-0.833333
240,-0.833333
241,-0.833333
242,0.166667
243,0.166667
244,0.166667
245,0.333333
246,0.333333
247,-1.66667
248,0
249,0.166667
250,-0.166667
251,0.166667
252,0
253,0
254,0.333333
255,-1.83333
256,0.333333
257,-3
258,0.166667
259,-0.666667
260,-1.16667
261,0
262,0.166667
263,0.333333
264,0.333333
265,0.166667
266,0
267,-0.5
268,0
269,0.333333
270,-0.833333
271,0
