Source,Target
0,1
0,2
0,10
0,21
0,24
0,28
0,30
0,31
0,49
0,67
0,80
0,84
0,90
0,103
0,114
0,233
0,244
0,253
0,379
0,432
0,573
0,577
0,709
0,763
0,1155
0,1239
0,1411
0,1513
0,2024
0,2197
0,5225
0,6889
0,7380
0,8073
1,2
1,3
1,4
1,5
1,10
1,13
1,16
1,19
1,20
1,21
1,23
1,27
1,32
1,34
1,35
1,38
1,44
1,45
1,50
1,52
1,61
1,68
1,78
1,82
1,94
1,104
1,106
1,112
1,113
1,117
1,119
1,138
1,145
1,166
1,179
1,214
1,222
1,226
1,230
1,231
1,236
1,242
1,259
1,279
1,322
1,328
1,342
1,343
1,352
1,358
1,363
1,399
1,427
1,460
1,502
1,503
1,544
1,567
1,580
1,598
1,607
1,619
1,620
1,648
1,675
1,677
1,696
1,699
1,727
1,735
1,755
1,802
1,803
1,848
1,865
1,875
1,891
1,918
1,921
1,967
1,969
1,988
1,1001
1,1012
1,1072
1,1078
1,1080
1,1091
1,1094
1,1136
1,1165
1,1253
1,1255
1,1258
1,1289
1,1376
1,1397
1,1409
1,1455
1,1553
1,1694
1,1709
1,1723
1,1784
1,1832
1,1846
1,1928
1,1935
1,1963
1,1969
1,2053
1,2160
1,2215
1,2234
1,2246
1,2256
1,2263
1,2347
1,2370
1,2381
1,2399
1,2534
1,2835
1,2872
1,2885
1,2902
1,2996
1,3008
1,3031
1,3032
1,3102
1,3109
1,3278
1,3322
1,3349
1,3403
1,3408
1,3413
1,3431
1,3475
1,3512
1,3549
1,3701
1,3785
1,3901
1,4208
1,4407
1,4423
1,4475
1,4588
1,4594
1,4657
1,4779
1,4809
1,4819
1,4952
1,5074
1,5114
1,5131
1,5246
1,5590
1,5732
1,6449
1,6488
1,6575
1,6666
1,6790
1,7145
1,7195
1,7380
1,7429
1,7862
1,7959
1,7961
1,8102
1,8147
1,8306
1,8370
1,8899
1,9225
1,9283
1,9320
1,9666
1,9962
2,3
2,4
2,5
2,6
2,7
2,8
2,9
2,12
2,13
2,15
2,16
2,18
2,35
2,36
2,37
2,40
2,46
2,48
2,57
2,59
2,64
2,66
2,70
2,75
2,102
2,106
2,141
2,149
2,154
2,161
2,173
2,190
2,200
2,222
2,256
2,263
2,284
2,291
2,292
2,294
2,311
2,332
2,347
2,364
2,416
2,448
2,456
2,479
2,491
2,503
2,556
2,593
2,739
2,761
2,791
2,803
2,1005
2,1011
2,1165
2,1181
2,1368
2,1536
2,1600
2,1650
2,1797
2,1909
2,2053
2,2054
2,2117
2,2157
2,2220
2,2576
2,2863
2,3272
2,3307
2,4014
2,4015
2,4404
2,4597
2,5424
2,6623
2,7195
3,9
3,57
3,173
3,727
3,761
3,802
3,1365
3,1579
3,2263
3,3307
3,3431
3,3701
3,4280
3,4588
3,6257
3,8370
5,6
5,7
5,11
5,22
5,61
5,279
5,284
5,648
5,2115
5,2538
5,3885
5,4014
5,4241
5,4444
5,5231
5,7429
5,9283
5,9502
6,8
6,40
6,118
6,152
6,1451
6,2538
6,3885
6,8207
7,11
7,22
7,4241
8,152
9,12
9,14
9,15
9,17
9,29
9,33
9,37
9,39
9,41
9,42
9,51
9,53
9,56
9,58
9,60
9,66
9,70
9,74
9,79
9,95
9,97
9,98
9,100
9,128
9,132
9,134
9,139
9,140
9,149
9,150
9,154
9,158
9,162
9,167
9,181
9,190
9,213
9,250
9,256
9,262
9,289
9,298
9,299
9,300
9,306
9,310
9,311
9,324
9,331
9,359
9,366
9,372
9,375
9,381
9,392
9,398
9,412
9,414
9,421
9,442
9,446
9,482
9,524
9,540
9,541
9,623
9,679
9,704
9,768
9,776
9,783
9,806
9,836
9,837
9,839
9,868
9,931
9,940
9,1025
9,1027
9,1043
9,1137
9,1141
9,1195
9,1240
9,1303
9,1306
9,1336
9,1345
9,1358
9,1368
9,1432
9,1450
9,1495
9,1509
9,1518
9,1587
9,1692
9,1716
9,1744
9,1748
9,1761
9,1770
9,1779
9,1785
9,1849
9,1856
9,1865
9,1919
9,1930
9,2070
9,2203
9,2218
9,2284
9,2329
9,2393
9,2434
9,2448
9,2467
9,2603
9,2725
9,2726
9,2746
9,2760
9,2888
9,3002
9,3052
9,3107
9,3204
9,3248
9,3286
9,3361
9,3495
9,3524
9,3616
9,3667
9,3732
9,3755
9,3764
9,3798
9,3882
9,4102
9,4125
9,4221
9,4235
9,4374
9,4449
9,4585
9,4774
9,4885
9,4889
9,4898
9,4951
9,4954
9,4957
9,5166
9,5203
9,5270
9,5387
9,5497
9,5591
9,5595
9,5643
9,5651
9,5680
9,5789
9,5833
9,5860
9,5862
9,5938
9,5947
9,6013
9,6019
9,6043
9,6228
9,6245
9,6420
9,6476
9,6517
9,6528
9,6534
9,6544
9,6560
9,6653
9,6685
9,6741
9,6882
9,7047
9,7102
9,7213
9,7425
9,7557
9,7963
9,7969
9,7997
9,8127
9,8294
9,8338
9,8598
9,8625
9,8764
9,8818
9,8839
9,8856
9,9282
9,9460
9,9521
9,9644
9,9705
9,9754
9,9769
9,9838
9,9855
9,9906
9,9929
10,24
10,28
10,30
10,43
10,50
10,80
10,84
10,138
10,142
10,168
10,169
10,170
10,189
10,206
10,241
10,245
10,269
10,281
10,296
10,326
10,337
10,342
10,432
10,436
10,439
10,536
10,550
10,569
10,577
10,620
10,628
10,757
10,794
10,808
10,871
10,930
10,991
10,1037
10,1091
10,1155
10,1210
10,1234
10,1310
10,1486
10,1768
10,1777
10,1846
10,1948
10,2040
10,2197
10,2857
10,2871
10,3084
10,3157
10,3163
10,3233
10,3375
10,3475
10,3500
10,3519
10,3545
10,3557
10,3641
10,3792
10,3847
10,4135
10,4140
10,4155
10,4260
10,4322
10,4646
10,4684
10,4714
10,4984
10,5014
10,5275
10,5367
10,5457
10,5479
10,6261
10,6423
10,6445
10,6666
10,6704
10,6810
10,6966
10,6992
10,7029
10,7584
10,7612
10,7758
10,7773
10,7860
10,8089
10,8816
10,9778
10,9904
10,9918
12,14
12,18
12,29
12,36
12,41
12,48
12,51
12,92
12,156
12,317
12,347
12,386
12,556
12,561
12,593
12,643
12,1017
12,1476
12,1552
12,1736
12,1908
12,2157
12,2284
12,2599
12,2639
12,2679
12,3272
12,4090
12,4218
12,4621
12,4642
12,4778
12,5372
12,5643
12,5667
12,6623
12,7016
12,7253
12,7768
12,9086
12,9974
13,23
13,236
13,1928
13,4298
14,156
14,250
14,1027
14,6685
15,17
15,33
15,39
15,42
15,53
15,55
15,56
15,74
15,75
15,85
15,97
15,101
15,110
15,111
15,123
15,148
15,162
15,165
15,167
15,172
15,178
15,188
15,200
15,207
15,217
15,219
15,235
15,238
15,240
15,243
15,263
15,265
15,267
15,277
15,287
15,289
15,295
15,314
15,341
15,364
15,369
15,377
15,419
15,445
15,451
15,465
15,469
15,478
15,489
15,496
15,540
15,543
15,592
15,594
15,597
15,604
15,623
15,644
15,646
15,666
15,669
15,680
15,722
15,725
15,728
15,747
15,753
15,766
15,768
