step,max_distance,k_max,entropy
0,1,3,0.047914
67,1,66,1.16941
134,1,128,1.38049
201,2,194,1.26188
268,2,260,1.17722
335,2,326,1.10768
402,2,391,1.05161
469,2,457,1.01168
536,2,522,1.00535
603,2,585,0.988195
670,2,648,0.983606
737,2,710,1.02201
804,2,777,0.983437
871,2,844,0.959363
938,2,910,0.96438
1005,2,976,0.955943
1072,2,1039,0.945867
1139,2,1103,0.936228
1206,2,1167,0.937754
1273,2,1233,0.932681
1340,2,1299,0.915504
1407,2,1365,0.925311
1474,2,1428,0.90978
1541,2,1494,0.892967
1608,2,1559,0.879421
1675,2,1624,0.86382
1742,2,1689,0.855897
1809,2,1755,0.842784
1876,2,1821,0.838725
1943,2,1887,0.859957
2010,2,1953,0.864293
2077,2,2018,0.869418
2144,2,2084,0.867822
2211,2,2151,0.865313
2278,2,2216,0.857676
2345,2,2280,0.860628
2412,2,2345,0.862064
2479,2,2408,0.856538
