step,max_distance,k_max,entropy
0,1,3,1.56183
67,3,43,4.83611
134,3,75,5.50476
201,3,99,5.90757
268,4,122,6.1901
335,4,144,6.41125
402,4,166,6.589
469,4,184,6.74271
536,4,197,6.8737
603,5,212,6.99301
670,5,231,7.09566
737,5,250,7.18887
804,5,265,7.27711
871,5,281,7.3565
938,5,290,7.43091
1005,5,307,7.49915
1072,5,325,7.56365
1139,5,343,7.62523
1206,5,355,7.68305
1273,5,372,7.73575
1340,5,381,7.78679
1407,5,388,7.83584
1474,5,406,7.88231
1541,5,420,7.92688
1608,5,431,7.97024
1675,5,444,8.01201
1742,5,458,8.05066
1809,5,469,8.08783
1876,5,485,8.12348
1943,5,495,8.15886
2010,5,508,8.19327
2077,5,522,8.22592
2144,5,532,8.25746
2211,5,544,8.28838
2278,5,550,8.31877
2345,5,568,8.3469
2412,5,578,8.37537
2479,5,592,8.40352
2546,5,603,8.43018
2613,5,616,8.45589
2680,5,627,8.48077
2747,5,643,8.50513
2814,5,653,8.52954
2881,5,666,8.55307
2948,5,677,8.57631
3015,5,693,8.59922
3082,5,704,8.62162
3149,5,712,8.643
3216,5,723,8.66379
3283,5,735,8.68431
3350,5,745,8.70454
3417,5,753,8.72428
3484,5,762,8.7431
3551,5,776,8.76207
3618,5,788,8.78071
3685,5,802,8.79884
3752,5,811,8.81662
3819,5,820,8.83421
3886,6,828,8.85155
3953,6,838,8.86881
4020,6,847,8.88563
4087,6,858,8.90233
4154,6,869,8.91876
4221,6,873,8.93459
4288,6,884,8.95044
4355,6,892,8.96604
4422,6,900,8.98151
4489,6,906,8.99664
4556,6,920,9.01165
4623,6,929,9.02624
4690,6,934,9.04067
4757,6,940,9.05493
4824,6,950,9.06901
4891,6,959,9.08292
4958,6,968,9.09664
5025,6,974,9.11001
5092,6,984,9.12333
5159,6,992,9.1363
5226,6,1006,9.14896
5293,6,1015,9.16186
5360,6,1023,9.17469
5427,6,1031,9.18738
5494,6,1040,9.19982
5561,6,1053,9.21199
5628,6,1066,9.22388
5695,6,1071,9.23601
5762,6,1086,9.2478
5829,6,1098,9.25953
5896,6,1107,9.2711
5963,6,1117,9.28224
6030,6,1127,9.29342
6097,6,1141,9.30447
6164,6,1150,9.3154
6231,6,1157,9.32588
6298,6,1167,9.3365
6365,6,1174,9.34721
6432,6,1185,9.35763
6499,6,1192,9.36807
6566,6,1201,9.37837
6633,6,1208,9.3885
6700,6,1218,9.39863
6767,6,1224,9.40865
6834,6,1235,9.4184
6901,6,1242,9.42827
6968,6,1251,9.43812
7035,6,1261,9.44776
7102,6,1265,9.45734
7169,6,1278,9.46664
7236,6,1284,9.47601
7303,6,1294,9.48515
7370,6,1305,9.4943
7437,6,1312,9.5033
7504,6,1319,9.5123
7571,6,1328,9.52123
7638,6,1337,9.53002
7705,6,1342,9.53881
7772,6,1349,9.54729
7839,6,1362,9.55574
7906,6,1372,9.56432
7973,6,1379,9.57269
8040,6,1388,9.58111
8107,6,1392,9.58928
8174,6,1405,9.59768
8241,6,1410,9.60594
8308,6,1416,9.61403
8375,6,1424,9.62196
8442,6,1430,9.62988
8509,6,1439,9.6379
8576,6,1449,9.64591
8643,6,1453,9.65371
8710,6,1463,9.66143
8777,6,1469,9.66912
8844,6,1475,9.67679
8911,6,1483,9.68433
8978,6,1490,9.69182
9045,6,1495,9.69926
9112,6,1504,9.70662
9179,6,1511,9.71402
9246,6,1517,9.7212
9313,6,1526,9.72833
9380,6,1539,9.73544
9447,6,1548,9.7425
9514,6,1557,9.7495
9581,6,1573,9.75644
9648,7,1578,9.76342
9715,7,1588,9.77031
9782,7,1592,9.77722
9849,7,1602,9.78394
9916,7,1608,9.79074
9983,7,1611,9.79746
