step,max_distance,k_max,entropy
0,1,3,1.37598
67,4,13,4.23234
134,5,15,4.89452
201,6,16,5.28773
268,6,17,5.56961
335,6,17,5.79187
402,7,18,5.97093
469,7,18,6.12528
536,7,18,6.2579
603,8,19,6.3743
670,8,19,6.47851
737,8,19,6.57225
804,8,19,6.65949
871,8,19,6.73838
938,8,19,6.81221
1005,8,20,6.88199
1072,8,20,6.94657
1139,8,20,7.00801
1206,8,20,7.06488
1273,8,20,7.11954
1340,8,20,7.17102
1407,8,20,7.2193
1474,8,21,7.26549
1541,8,21,7.30953
1608,8,21,7.35227
1675,9,21,7.39343
1742,9,21,7.43283
1809,9,21,7.4703
1876,9,22,7.50686
1943,9,22,7.54159
2010,9,22,7.57559
2077,9,22,7.60807
2144,9,22,7.64007
2211,9,22,7.67055
2278,9,22,7.70017
2345,9,23,7.72889
2412,9,23,7.75695
2479,9,23,7.78453
2546,9,23,7.81128
2613,9,23,7.83705
2680,9,23,7.86244
2747,9,23,7.88728
2814,9,23,7.91146
2881,9,23,7.93489
2948,9,23,7.95791
3015,9,23,7.98051
3082,9,23,8.00277
3149,9,24,8.02449
3216,9,24,8.04571
3283,9,24,8.06608
3350,9,24,8.0861
3417,10,24,8.10583
3484,10,24,8.12536
3551,10,24,8.14404
3618,10,24,8.16276
3685,10,24,8.18123
3752,10,24,8.19917
3819,10,24,8.21658
3886,10,24,8.23413
3953,11,24,8.25137
4020,11,24,8.26789
4087,11,24,8.28432
4154,11,24,8.30079
4221,11,24,8.31686
4288,11,25,8.33268
4355,11,25,8.34811
4422,11,25,8.36347
4489,11,25,8.37841
4556,11,25,8.39343
4623,11,25,8.40794
4690,12,25,8.42235
4757,12,25,8.43671
4824,12,25,8.4507
4891,12,25,8.46452
4958,12,25,8.47804
5025,12,25,8.49141
5092,12,25,8.50453
5159,12,25,8.51773
5226,12,26,8.53056
5293,12,26,8.54332
5360,12,26,8.55597
5427,12,26,8.56823
5494,12,26,8.58051
5561,13,26,8.59275
5628,13,26,8.6048
5695,13,26,8.61671
5762,13,26,8.62835
5829,13,27,8.63985
5896,13,27,8.65128
5963,13,27,8.66245
6030,13,27,8.67353
6097,13,27,8.68441
6164,13,27,8.69526
6231,13,27,8.70598
6298,13,27,8.7166
6365,13,27,8.72729
6432,13,27,8.73771
6499,13,27,8.74813
6566,13,27,8.75832
6633,13,27,8.7685
6700,13,27,8.77856
6767,13,27,8.78849
6834,13,27,8.79828
6901,13,27,8.80797
6968,13,27,8.81762
7035,13,27,8.82727
7102,13,27,8.83675
7169,13,27,8.84613
7236,13,27,8.85543
7303,13,28,8.86454
7370,13,28,8.87374
7437,13,28,8.88284
7504,13,28,8.89179
7571,13,28,8.90076
7638,13,28,8.90961
7705,13,28,8.91835
7772,13,28,8.92708
7839,13,28,8.93558
7906,13,28,8.94417
7973,13,28,8.95251
8040,13,28,8.961
8107,13,28,8.96928
8174,13,28,8.97747
8241,13,28,8.98563
8308,13,28,8.9938
8375,13,28,9.00181
8442,13,28,9.00988
8509,13,28,9.01783
8576,13,28,9.02572
8643,13,28,9.03348
8710,13,28,9.04119
8777,13,28,9.04885
8844,13,28,9.05651
8911,13,28,9.06405
8978,13,28,9.07149
9045,13,28,9.07899
9112,13,28,9.08636
9179,13,28,9.0936
9246,13,28,9.10086
9313,13,28,9.10799
9380,13,28,9.11518
9447,13,28,9.12226
9514,13,28,9.12929
9581,13,28,9.13627
9648,13,28,9.14319
9715,13,28,9.15021
9782,13,28,9.15708
9849,13,28,9.16389
9916,13,28,9.17066
9983,13,28,9.17735
