Node,Curvature
0,-0.333333
1,-4.66667
2,-5.5
3,-1.83333
4,-1.16667
5,-2.16667
6,-1.16667
7,-0.333333
8,-1.16667
9,-2
10,-2.16667
11,0.166667
12,-2
13,0
14,-0.666667
15,-2.16667
16,-1.66667
17,-0.666667
18,-0.5
19,-0.333333
20,-1.33333
21,-0.5
22,0.166667
23,-0.333333
24,-0.333333
25,0
26,-0.666667
27,-0.333333
28,-0.666667
29,0.166667
30,0.166667
31,-0.333333
32,-2.16667
33,-0.833333
34,-1.33333
35,-0.333333
36,-0.833333
37,-0.5
38,-1.16667
39,-0.333333
40,-1.66667
41,-0.166667
42,-0.166667
43,-0.833333
44,-0.666667
45,-1.16667
46,-0.666667
47,-2.16667
48,-1.5
49,-0.833333
50,-0.5
51,-0.333333
52,-1
53,-2.66667
54,-0.5
55,-1
56,0.333333
57,-0.333333
58,0
59,-0.166667
60,-0.333333
61,-0.666667
62,-1.16667
63,-0.166667
64,0.166667
65,-1
66,-1.33333
67,-1.16667
68,-1.33333
69,-1
70,0
71,-1.33333
72,-0.666667
73,-0.833333
74,-1
75,-1
76,-1.66667
77,-1
78,-0.5
79,-0.5
80,-1.5
81,-0.5
82,-0.333333
83,-1.5
84,-2.5
85,-0.5
86,-1
87,-1
88,-1.33333
89,-0.333333
90,-0.5
91,-0.666667
92,-0.333333
93,-0.166667
94,-0.333333
95,-0.333333
96,-1.16667
97,-0.333333
98,-0.833333
99,-2.33333
100,-0.166667
101,-0.166667
102,0.166667
103,-1
104,0.333333
105,-0.166667
106,-0.166667
107,-0.833333
108,-1.83333
109,0.166667
110,-0.333333
111,-0.166667
112,-0.333333
113,-0.5
114,-1.16667
115,-0.666667
116,-1
117,-0.5
118,0.166667
119,0
120,-0.166667
121,-1.66667
122,0.166667
123,-1.33333
124,-0.5
125,0.333333
126,-0.5
127,0
128,0
129,-1.83333
130,-1
131,0.166667
132,-0.833333
133,-0.166667
134,0.333333
135,-0.833333
136,-1.33333
137,-1
138,0.166667
139,-0.666667
140,0
141,-1
142,-0.5
143,0.166667
144,0
145,0
146,-0.666667
147,-1.83333
148,-0.166667
149,-0.333333
150,0.166667
151,0
152,0.166667
153,0.166667
154,-0.5
155,-1.16667
156,-2.16667
157,-0.166667
158,-1
159,0.166667
160,-1.5
161,0.333333
162,-0.5
163,-0.833333
164,0
165,-3
166,-1.16667
167,-0.5
168,-1.5
169,-0.666667
170,-0.666667
171,-0.333333
172,-0.166667
173,-0.5
174,-0.666667
175,0.166667
176,-0.666667
177,-0.833333
178,-0.5
179,-0.5
180,-0.5
181,-0.166667
182,0
183,-1
184,-0.333333
185,-0.333333
186,-1
187,0
188,0
189,-1.5
190,-0.5
191,-0.666667
192,-1
193,-0.333333
194,0
195,-0.5
196,0.166667
197,-0.5
198,-0.333333
199,-0.5
200,-0.166667
201,-0.5
202,-1.33333
203,-1.33333
204,-2.16667
205,-1.16667
206,-0.333333
207,-0.333333
208,-0.666667
209,-0.333333
210,-0.666667
211,-0.333333
212,-0.5
213,0.166667
214,0.333333
215,0.333333
216,0
217,0
218,0.166667
219,-0.333333
220,-0.166667
221,-0.333333
222,-0.666667
223,-1.16667
224,-0.666667
225,-0.166667
226,-0.5
227,-0.5
228,-0.5
229,0.166667
230,-0.333333
231,-1.33333
232,-0.5
233,-1.83333
234,-0.333333
235,-0.5
236,-0.333333
237,0
238,-0.833333
239,-0.166667
240,-0.166667
241,-0.5
242,0.166667
243,-0.333333
244,-1
245,0.166667
246,0.166667
247,-0.5
248,0.166667
249,0
250,-1
251,-0.833333
252,-0.166667
253,-0.5
254,-0.833333
255,0.166667
256,-0.833333
257,-0.833333
258,-0.166667
259,-1.83333
260,-1
261,-0.166667
262,0.166667
263,-0.333333
264,0
265,0
266,-1.16667
267,0
268,-0.166667
269,0
270,-2
271,0
272,-0.166667
273,0
274,-0.166667
275,-0.666667
276,0
277,0.166667
278,0
279,-0.833333
280,-0.666667
281,0.166667
282,0.166667
283,-0.666667
284,-0.833333
285,-0.333333
286,0
287,0
288,-1.16667
289,0.166667
290,-0.333333
291,-0.833333
292,-0.333333
293,-0.166667
294,-0.166667
295,0
296,0
297,0.333333
298,-0.666667
299,-1.16667
300,-0.166667
301,-0.166667
302,-0.166667
303,-0.166667
304,0.166667
305,-1
306,-0.166667
307,0
308,-0.166667
309,-0.166667
310,0.166667
311,-0.333333
312,-0.333333
313,0.333333
314,-0.166667
315,-0.666667
316,-1.16667
317,0.166667
318,-0.166667
319,0
320,-0.5
321,-1
322,-1
323,-0.5
324,-0.166667
325,-1.16667
326,0.166667
327,-1.16667
328,-0.166667
329,-0.666667
330,-0.166667
331,-0.5
332,0.333333
333,0.166667
334,-1.66667
335,-0.833333
336,-0.666667
337,-0.333333
338,-0.166667
339,0.166667
340,-0.5
341,-0.166667
342,-1.16667
343,0.333333
344,-0.166667
345,-0.166667
346,-0.666667
347,-0.166667
348,-1.16667
349,-0.666667
350,0.333333
351,0
352,-0.5
353,-0.666667
354,0
355,-0.833333
356,0.333333
357,0.166667
358,-0.5
359,-0.333333
360,-0.333333
361,-0.833333
362,-0.333333
363,0
364,0
365,-0.333333
366,-0.166667
367,0
368,-0.166667
369,0.166667
370,-0.833333
371,0
372,-0.166667
373,-0.166667
374,0
375,-0.5
376,-0.666667
377,0.333333
378,-0.333333
379,0.166667
380,0
381,0.333333
382,0
383,0
384,0.333333
385,0.333333
386,-0.333333
387,0
388,-0.166667
389,-0.666667
390,-0.5
391,0
392,0
393,0.333333
394,0.166667
395,-0.166667
396,-0.166667
397,0.166667
398,0.166667
399,-0.5
400,-0.833333
401,-0.333333
402,0.166667
403,0.166667
404,-0.5
405,-0.333333
406,-0.5
407,-1.33333
408,-0.666667
409,0.333333
410,-0.333333
411,0.166667
412,-0.333333
413,0
414,-0.333333
415,0
416,0
417,-0.333333
418,0.166667
419,-0.166667
420,0
421,0
422,-1.16667
423,-0.333333
424,0.166667
425,0.166667
426,-0.833333
427,-0.166667
428,-1.66667
429,-0.666667
430,0.166667
431,-1
432,-0.166667
433,0.333333
434,-0.166667
435,0.166667
436,0.166667
437,-0.166667
438,-0.5
439,0
440,-0.5
441,-1
442,0.166667
443,-0.166667
444,0.166667
445,-0.166667
446,-0.166667
447,-0.166667
448,-0.833333
449,-0.666667
450,0
451,-0.666667
452,-0.666667
453,-0.333333
454,-0.166667
455,-0.5
456,-1.5
457,-0.5
458,-1.33333
459,0.166667
460,-0.833333
461,0
462,0.166667
463,-0.666667
464,0
465,-0.5
466,0
467,0
468,0.166667
469,0.166667
470,-2.33333
471,-0.166667
472,0.166667
473,-0.333333
474,-0.166667
475,-1.33333
476,-0.666667
477,0.166667
478,0
479,-0.333333
480,0
481,0.166667
482,-0.666667
483,0
484,-0.166667
485,0.166667
486,0.166667
487,-0.5
488,0.166667
489,-0.5
490,0
491,0
492,-0.333333
493,-0.5
494,0.166667
495,0
496,-0.5
497,0.166667
498,-0.333333
499,0.166667
500,0
501,0
