Source,Target
0,1
0,2
0,4
0,10
0,13
0,21
0,24
0,28
0,30
0,80
0,84
0,233
0,244
0,253
0,432
0,573
0,577
0,763
0,1155
0,1411
0,2024
0,2197
0,5225
0,7380
1,2
1,3
1,5
1,10
1,16
1,31
1,35
1,49
1,67
1,90
1,103
1,106
1,114
1,222
1,379
1,503
1,709
1,803
1,1239
1,1513
1,6889
1,8073
2,3
2,4
2,9
2,19
2,20
2,23
2,50
2,61
2,138
2,279
2,620
2,648
2,727
2,802
2,1091
2,1165
2,2053
2,2263
2,3431
2,3701
2,4588
2,7195
2,7429
2,8370
2,9283
3,5
3,6
3,7
3,61
3,82
3,166
3,179
3,236
3,342
3,1846
3,1928
3,3008
3,3475
3,6666
4,9
4,21
4,27
4,78
4,104
4,117
4,230
4,696
4,848
4,967
4,1078
4,1409
4,1553
4,7145
5,6
5,8
5,12
5,15
5,16
5,18
5,32
5,52
5,68
5,214
5,226
5,242
5,619
5,865
5,1012
6,7
6,8
6,11
6,34
6,119
6,231
6,343
6,675
6,1935
7,34
7,38
7,44
7,45
7,112
7,236
7,358
7,1072
7,1136
7,1784
7,2885
7,6488
8,11
8,12
8,94
8,113
8,399
8,460
8,567
8,580
8,755
8,988
8,1694
8,3031
8,3322
8,3785
8,4475
9,19
9,22
9,37
9,40
9,57
9,78
9,145
9,328
9,352
9,363
9,544
9,677
9,918
9,1094
9,3408
9,4657
10,13
10,14
10,31
10,36
10,48
10,66
10,70
10,173
10,502
10,598
10,875
10,891
10,2370
10,2399
10,3512
10,4594
11,119
11,190
11,259
11,322
11,460
11,699
11,1255
11,2256
12,15
12,17
12,94
12,149
12,154
12,200
12,284
12,427
12,735
12,1080
12,1455
12,1832
12,5732
12,7959
13,14
13,30
13,46
13,75
13,256
13,311
13,607
13,1289
13,2902
13,3109
13,4819
14,36
14,59
14,75
14,102
14,161
14,263
14,332
14,347
14,556
14,969
14,1001
14,1963
14,2246
14,2996
14,3901
15,17
15,18
15,29
15,41
15,64
15,141
15,291
15,364
15,479
15,593
15,761
15,3349
15,9666
16,32
16,39
16,49
16,51
16,152
16,292
16,294
16,921
16,1376
16,1723
16,1969
16,2347
16,2381
16,3278
16,6449
16,9225
17,64
17,427
17,456
17,791
17,1253
17,1258
17,2234
17,3403
17,4423
17,4779
17,4809
18,29
18,33
18,214
18,416
18,491
18,1397
18,2160
18,2215
18,2534
19,20
19,22
19,42
19,118
19,162
19,250
19,448
19,739
19,1709
19,2872
19,3549
19,8306
19,8899
20,23
20,26
20,56
20,118
20,167
20,1368
20,2835
20,3032
20,3102
21,24
21,25
21,27
21,53
21,74
21,97
21,1005
21,1011
21,1181
21,7862
21,8102
22,37
22,42
22,139
22,140
22,289
22,4407
22,5074
22,6575
23,26
23,43
23,50
23,58
23,60
23,79
23,262
23,540
23,1600
23,1650
23,2117
23,2157
23,3413
23,4952
23,9320
24,25
24,28
24,299
24,300
24,310
24,623
24,1536
24,4208
24,5131
25,53
25,95
25,134
25,299
25,1797
25,3307
26,43
26,56
26,98
26,150
26,414
26,1365
26,2576
26,3272
26,4014
26,5114
26,5246
27,230
27,482
27,679
27,768
27,931
27,1005
27,1027
27,1579
27,1909
27,2054
27,2220
27,5590
27,8147
27,9962
28,577
28,4208
28,6790
28,7961
29,33
29,41
29,132
29,324
29,331
29,398
29,421
29,1451
29,2863
29,4597
30,46
30,80
30,100
30,181
30,392
30,1043
30,2115
30,4404
30,6623
31,35
31,48
31,55
31,128
31,213
31,366
31,524
31,1137
31,1779
32,39
32,52
32,92
32,158
32,1306
32,2538
32,4015
33,398
33,416
33,1432
33,2284
33,4280
34,38
34,54
34,231
34,298
34,306
34,806
34,3885
34,4241
34,4444
34,5424
35,67
35,128
35,142
35,206
35,245
35,1195
35,1345
35,1495
35,1692
35,2467
35,2746
35,3248
35,6257
36,59
36,66
36,85
36,156
36,168
36,169
36,170
36,189
36,269
36,372
36,442
36,839
36,1303
36,1856
36,2329
36,2603
37,40
37,62
37,241
37,296
37,381
37,776
37,1748
37,5074
37,5231
38,44
38,47
38,54
38,72
38,101
38,281
38,359
38,446
38,836
38,3495
38,5643
38,9502
39,158
39,292
39,337
39,1865
39,1919
39,2393
39,6043
39,6560
39,6685
39,8207
40,57
40,62
40,96
40,111
40,123
40,243
40,375
40,412
40,541
40,704
40,783
40,2218
40,3616
40,6528
40,8625
41,132
41,141
41,165
41,235
41,238
41,837
41,1141
41,1744
41,4957
41,6245
41,6420
42,139
42,148
42,162
42,188
42,439
42,1770
42,2448
42,3107
42,4374
43,98
43,240
43,326
43,868
43,940
43,2157
43,4585
43,8818
43,9929
44,45
44,47
44,63
44,65
44,76
44,89
44,110
44,317
44,1358
44,3361
44,8598
45,63
45,73
45,77
45,112
45,121
45,219
45,536
45,569
45,1518
45,1761
45,2434
45,4898
45,7557
45,8338
46,181
46,207
46,256
46,436
46,628
46,794
46,2726
46,3732
47,65
47,101
47,122
47,172
47,178
47,217
47,295
47,314
47,550
47,1025
48,55
48,69
48,105
48,108
48,502
48,757
48,1336
48,2070
48,5270
48,9705
49,51
49,90
49,341
49,386
49,643
49,991
49,1240
49,1716
49,8764
49,9644
50,58
50,125
50,377
50,561
50,727
50,1785
51,152
51,386
51,451
51,478
51,871
51,930
51,1037
51,1210
51,1234
51,1450
51,2725
51,2760
51,3764
51,5166
51,5387
51,9460
51,9754
52,68
52,92
52,135
52,159
52,267
52,277
52,808
52,1509
52,1587
52,2203
52,4954
52,5595
52,6882
53,74
53,93
53,95
53,109
53,115
53,265
53,287
53,445
53,489
53,597
53,1930
53,3002
53,3286
53,3524
53,4125
53,4221
53,4885
53,5789
53,8127
53,8856
54,72
54,88
54,124
54,306
54,747
54,1849
54,3052
54,3204
54,4774
54,6019
54,6476
54,7047
54,7102
55,69
55,211
55,213
55,248
55,469
55,496
55,1017
55,6534
55,7213
55,9521
56,150
56,163
56,1486
56,1777
56,3032
56,3798
56,6544
56,9855
57,111
57,221
57,239
57,363
57,644
57,1310
57,3755
57,5947
57,7425
57,9769
58,60
58,71
58,81
58,125
58,790
58,835
59,85
59,161
59,872
59,1948
59,5680
59,7969
60,71
60,79
60,129
60,184
60,187
60,255
60,369
60,666
60,669
60,816
60,844
60,2888
60,3882
60,5833
61,82
61,138
61,183
61,247
61,465
61,592
61,1768
61,4449
62,96
62,99
62,144
62,241
62,272
62,543
62,725
62,775
62,1196
62,1476
62,1552
62,3157
62,3667
62,4102
62,4951
62,5591
62,5860
62,5862
62,8839
63,73
63,76
63,120
63,419
63,1117
63,1217
63,1736
63,5651
63,9906
64,456
64,593
64,722
64,1304
64,2040
64,2871
64,4235
65,89
65,122
65,843
65,896
65,1293
65,1523
65,3163
65,4889
65,5203
65,6741
66,70
66,83
66,87
66,130
66,131
66,168
66,185
66,249
66,646
66,1425
66,1629
66,6228
67,103
67,245
67,413
67,594
67,604
67,858
67,888
67,1212
67,1246
67,1556
67,1593
67,1721
67,1908
67,2857
