step,max_distance,k_max,entropy
0,1,3,0.0401845
67,5,19,0.814435
134,9,19,4.93809e-06
201,13,25,0.000499428
268,13,52,0.00163247
335,16,61,0.000998765
402,18,64,0.134964
469,18,64,1.518
536,18,64,1.36594
603,18,67,4.32852e-08
670,18,67,1.65719
737,18,69,1.67149
804,18,77,0.000247583
871,18,77,4.89491e-06
938,18,77,0.0401862
1005,18,77,0.693148
1072,19,77,3.87882
1139,19,77,3.84965
1206,19,77,1.89888e-09
1273,20,77,0.695014
1340,23,77,2.25558e-08
1407,23,77,0.000302672
1474,23,77,1.49969e-07
1541,28,77,1.66453
1608,28,77,0.119808
1675,28,77,0.000260811
1742,28,77,0.0401796
1809,28,77,2.03383
1876,28,77,0.73238
1943,28,77,0.00100185
2010,28,77,0.000322342
2077,28,77,4.4998
2144,28,77,1.98673e-05
2211,29,77,4.70041
2278,29,77,4.70811
2345,29,77,0.0401796
2412,29,77,0.000998836
2479,29,77,0.212971
2546,30,77,0.00054794
2613,30,77,0.0530404
2680,30,77,2.52837
2747,30,77,2.30341
2814,31,77,4.77818
2881,31,77,4.71845
2948,31,77,0.856083
3015,31,77,0.081867
3082,31,77,0.0401945
3149,31,77,0.71413
3216,31,77,2.70645
3283,31,77,2.69582
3350,31,77,3.27458
3417,31,77,2.60857e-05
3484,31,77,0.0401906
3551,32,77,1.46502
3618,33,77,0.83322
3685,34,77,1.99908
3752,34,77,1.11321
3819,34,77,0.141789
3886,34,77,0.0422
3953,35,77,0.76786
4020,35,77,3.05898
4087,35,77,4.31217e-07
4154,35,77,4.51093e-05
4221,35,77,3.2556
4288,35,77,3.31738
4355,35,77,0.287773
4422,35,77,0.255094
4489,35,77,0.259913
4556,35,77,0.00144858
4623,35,77,3.66782
4690,35,77,4.77543e-05
4757,35,77,0.693647
4824,35,77,4.63453
4891,37,77,3.83314e-05
4958,39,77,3.79805
5025,39,77,4.62307
5092,39,77,4.60893
5159,39,77,0.263954
5226,39,77,3.67974
5293,39,77,3.6111e-10
5360,39,77,3.41964
5427,39,77,0.0446245
5494,39,77,0.230314
5561,39,77,1.9909e-09
5628,39,77,0.000499466
5695,39,77,0.154136
5762,39,77,0.00350732
5829,39,77,3.72344
5896,39,77,4.93772e-06
5963,39,77,1.88318e-11
6030,41,77,4.84785e-05
6097,42,77,3.54007
6164,44,77,0.00271859
6231,44,77,5.99301
6298,44,77,4.78588
6365,44,77,0.00419377
6432,44,77,4.81318
6499,44,77,0.0401799
6566,44,77,3.51571
6633,44,77,8.43257e-14
6700,44,77,0.174673
6767,44,77,0.693402
6834,44,77,3.54467
6901,44,77,8.90698e-08
6968,45,77,0.693936
7035,47,77,3.63976
7102,47,77,0.713798
7169,47,77,0.393554
7236,48,77,3.79678
7303,48,77,3.76391
7370,48,77,0.606361
7437,48,77,4.74329e-08
7504,48,77,0.0462737
7571,48,77,0.733596
7638,48,77,5.53739e-06
7705,48,77,0.343733
7772,48,77,0.00274915
7839,48,77,4.77901
7906,48,77,3.84075
7973,48,77,0.000554115
8040,48,77,3.85999
8107,48,77,0.720458
8174,48,77,1.12941
8241,48,77,1.27623
8308,48,77,1.09894e-06
8375,49,77,0.687223
8442,49,77,3.9406
8509,49,77,3.94557
8576,49,77,4.16909
8643,49,77,5.61407
8710,49,77,1.12687
8777,49,77,1.25845
8844,49,77,5.12229
8911,49,77,5.38109e-05
8978,49,77,5.58905
9045,49,77,5.05359
9112,49,77,5.05471
9179,49,77,4.21065
9246,49,77,0.0037118
9313,49,77,5.07388
9380,49,77,0.00721575
9447,49,77,0.349709
9514,49,77,0.00368558
9581,49,77,2.82097e-07
9648,49,77,4.09425
9715,49,77,3.82946e-05
9782,49,77,4.21186
9849,49,77,0.0463162
9916,49,77,3.96416
9983,49,77,0.091891
